[2026-08-23T13:07:38+02:00] Admin sale triggered auto-reorder check for medicine_id=1, cashier_id=1, result=7
[2026-08-23T13:09:19+02:00] Admin sale triggered auto-reorder check for medicine_id=1, cashier_id=1, result=8
[2026-08-25T16:00:56+02:00] Admin sale triggered auto-reorder check for medicine_id=1, cashier_id=1, result=NULL
[2026-08-25T16:17:05+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=10
[2026-08-25T16:33:46+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=11
[2026-08-25T16:40:40+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=12
[2026-08-25T16:49:23+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=14
[2026-08-25T17:01:48+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=15
[2026-08-25T17:05:21+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=16
[2026-08-25T17:11:02+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=17
[2026-08-25T17:22:16+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=19
[2026-08-25T17:27:23+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=21
[2026-08-25T17:38:02+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=22
[2026-08-25T17:43:53+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=NULL
[2026-08-25T17:44:48+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=NULL
[2026-08-25T17:51:45+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=NULL
[2026-08-25T17:57:21+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=NULL
[2026-08-25T18:02:28+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=28
[2026-08-25T18:14:35+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=29
[2026-08-25T18:19:15+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=31
[2026-08-25T18:27:35+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=33
[2026-08-25T18:31:12+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=34
[2026-08-25T18:41:59+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=35
[2026-08-25T18:53:40+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=36
[2026-08-25T19:02:54+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=37
[2026-08-27T15:40:17+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=38
[2026-08-27T15:55:46+02:00] Admin sale triggered auto-reorder check for medicine_id=1, cashier_id=1, result=39
[2026-08-27T15:56:51+02:00] Phar sale auto-reorder check for medicine_id=2, cashier_id=2, result=NULL
[2026-08-27T16:04:16+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=40
[2026-08-27T17:33:44+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=41
[2026-08-27T17:36:36+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=NULL
[2026-08-27T17:37:47+02:00] Admin sale triggered auto-reorder check for medicine_id=2, cashier_id=1, result=42
[2026-08-28T18:22:43+02:00] Admin sale triggered auto-reorder check for medicine_id=6, cashier_id=1, result=NULL
[2026-08-28T18:43:04+02:00] Admin sale triggered auto-reorder check for medicine_id=7, cashier_id=1, result=NULL
